,review_text,review_rating,BERT_score,issue
0,This vest is a very nice option for someone not looking break the bank. It comes with a bladder for hydration and the phone pocket fits my phone with it's case and pop socket! The material is comfortable and the best doesn't feel heavy when everything is loaded into it. The only con I find to this vest is that the straps can loosen up as you run. I had to tighten them a few times during last run.,5.0,4,none
1,"I previously ordered a running bus from a different vendor and it was nice, but I needed something a little bit more quality and black. I took a chance on this one and let me tell you for the price that I got it for it felt like an expensive Lululemon dupe! I love the pockets and the cell phone holder that it comes with. The fit is comfortable as well, not too tight and washed well.",5.0,4,none
2,"Love all of the pockets! Great fit. It does get loose easily while I’m running , but it’s easy to tighten up.",4.0,5,none
3,"i like this vest a lot! its super light and it fits perfectly on me.does not rub against my skin or leave marks.comes with a water bottle that you can fill up.you can fit you phone in the pocket as well and room for your keys with a zipper.theres also  a pocket in the back for you to keep stuff in.i think this is a good purchase for a runners vest if you dont want to carry much.i just need my keys, phone and water and chap stick and credit card.",5.0,5,none
4,"so happy with my purchase!! It’s so lightweight and has a bunch of pockets/ hideaway zippers, it also includes a collapsible water bottle which is great! But it also can hold a regular plastic water bottle. Everything stays secure and even has room to keep ur phone on you with a sweat shielding touch screen.",5.0,5,none
5,I really liked the vest but it didn't come with the water bottle. I would really like to get the correct item with the water bottle so I can use it.,3.0,3,none
6,It’s my first running vest actually and I love it! Holds my keys and iPhone perfectly. Love that I can pull the phone tab down and change my podcast/music so easily through the clear plastic cover. Fits comfortably and is light weight. It’s great quality and so affordable! Happy I found this.,5.0,5,none
7,"The vest works great but if you’re smaller than a medium sized shirt, it will probably be slightly big on you. I like that it comes with a bottle and the cell phone holder. During a run the straps started to loosen around the 2 mile mark, but I could easily tighten them while running. Overall great value.",4.0,4,none
8,"I bought this cause I saw someone with one and thought I'd try one out. Not only has this been great for me but it frees up my hands. First off, the bottle that this vest comes with can be placed in my freezer to make sure I have cold water in this heat. The one thing I didn't realize is the phone holder pocket because I don't have to attempt to grab my phone out, I just pull it down and can check my notifications. There are so many other pockets that I can just put my keys inside one, and my card holder in another. I found that with the large back pocket, I can fit a flat ice pack inside to help me stay cool. The vest is completely washable and is surprisingly very comfortable and breathable.",5.0,4,none
9,This vest is the bomb! And for my bigger chested girlies in case y’all was wondering it fits mine (38DD) that was my biggest concern finding a vest so I took a chance on this one lol and it’s very comfortable even a tad bit of stretch. 10/10,5.0,5,none
10,"I took this vest for a run today. It made my run very enjoyable! I had my water, my inhaler, and my phone. The phone pocket is very impressive. You put your phone in and the face recognition still works and you can type, if needed. When you’re done, the Velcro holds it but there’s also a snap button inside the Velcro for more security. There’s also a silicone backing in the phone pocket so your phone doesn’t slip out if it’s upside down. There’s also a little pocket for your gel if you take that on your run. It’s very comfortable; I didn’t have any issues with it. I have a size M/L. This vest is a must for any run or hike.",5.0,5,none
11,"Before I was running with my watch only and left my phone in the car, but I like taking my phone out for pictures, this solved my problem and the water pack is just a plus",5.0,4,none
12,This is very light and not noticeable as far as being cumbersome while running. All my friends have themIn our running group now. Thanks for a great product.,5.0,5,none
13,This vest is nice and easy to use. It has plenty of storage as well as fits over larger chest women.The first order placed was too small but customer service team immediately reached out and made the swap for a new size and were extremely friendly and professional. Definitely recommend for a hiker or runner,5.0,5,size
14,Love it! Works perfectly!,5.0,5,none
15,"The vest has plenty of pockets for whatever you need to carry. The straps are adjustable and stay in place while excerising. It does get a little warm where the material lays, but other than that I would recommend highly!",5.0,4,none
16,I love how adjustable this vest is due to the simple fact I have big boobs. Also it has two pockets where you can put your keys or phone in. Also comes with a water bottle too ! It is very light weight and very stable. I am purchased this vest and now my running days will be more easier !,5.0,5,none
17,The vest is super lightweight and comfortable. I switched over from a fanny pack and won’t be going back,5.0,5,none
18,Good quality material. Very comfortable. A little tight but fit just right. You have to be on the slim side to be able to fit in it.,5.0,4,none
19,"It’s a perfect fit, lightweight. Perfect for running or short hiking trips.",5.0,5,none
20,I hate running with a phone and water bottle in my pockets! My shorts swaying with the weight of a phone and water bottle is so annoying! Amazon exists and I found this product to help me run! I don’t have to hold my phone and water because this vest does it for me!,5.0,1,none
21,The quality of the vest is great. It’s not too heavy even with the water in it. Also it doesn’t move around while I run. It’s got a cool phone pocket and a smaller pocket for keys or an ID/debit card. Love it!,5.0,5,none
22,"The media could not be loaded.
                



This vest has so many amazing features! Quickly added to my running essentials: https://amzn.to/3vY7qwU",5.0,5,none
23,I had been searching for a smaller vest forever. I got this wore it once and it seemed perfect. Wore it the next time to a huge race i was doing. The straps busted before i even got to my wave line. I was so angry. Had to just put it down and run holding my belongings. Really disappointed.,1.0,1,none
24,"The vest has great storage space and I love the water bottle feature but after my first run, of the bucked straps in the front broke off and I’ve used it two more times and now all three of the front straps are broken and I can’t even use it.",1.0,2,none
